PharmacyID,fac_id,dsps_dtm,change_dtm,pack,estimated,cum
3INDI,1110,20200127,20200127,740,1036.0,3130.4
3INDI,1110,20200128,20200128,746,1044.4,4174.8
3INDI,1110,20200129,20200129,731,1023.4,5198.2
3INDI,1111,20200125,20200125,375,525.0,525.0
3INDI,1111,20200126,20200126,363,508.2,1034.6
3INDI,1111,20200126,20200127,1,1.4,1034.6
3INDI,1111,20200127,20200127,371,519.4,1554.0
3INDI,1111,20200128,20200128,379,530.6,2084.6
3INDI,1111,20200129,20200129,353,494.2,2578.8
3INDI,1202,20200125,20200125,739,1034.6,1034.6
3INDI,1202,20200126,20200126,743,1040.2,2074.8
3INDI,1202,20200127,20200127,808,1131.2,3206.0
3INDI,1202,20200128,20200128,801,1121.4,4327.4
3INDI,1202,20200129,20200129,804,1125.6,5453.0
3INDI,1324,20200125,20200125,1274,1783.6,1783.6
3INDI,1324,20200126,20200126,1244,1741.6,3525.2
3INDI,1324,20200127,20200127,1242,1738.8,5264.0
3INDI,1324,20200128,20200128,1270,1778.0,7042.0
3INDI,1324,20200129,20200129,1222,1710.8,8752.8
3INDI,2046,20200125,20200125,1502,2102.8,2102.8
3INDI,2046,20200126,20200126,1532,2144.8,4247.6
3INDI,2046,20200127,20200127,1510,2114.0,6361.6
3INDI,2046,20200128,20200128,1530,2142.0,8503.6
3INDI,2046,20200129,20200129,1510,2114.0,10617.6
3INDI,2158,20200125,20200125,721,1009.4,1156.4
3INDI,2158,20200125,20200126,105,147.0,1156.4
3INDI,2158,20200126,20200126,801,1121.4,2286.2
3INDI,2158,20200126,20200127,6,8.4,2286.2
3INDI,2158,20200127,20200127,812,1136.8,3423.0
3INDI,2158,20200128,20200128,801,1121.4,4559.8
3INDI,2158,20200128,20200129,11,15.4,4559.8
3INDI,2158,20200129,20200129,790,1106.0,5670.0
3INDI,2158,20200129,20200130,3,4.2,5670.0
3INDI,2272,20200125,20200125,695,973.0,973.0
3INDI,2272,20200126,20200126,684,957.6,1933.4
3INDI,2272,20200126,20200127,2,2.8,1933.4
3INDI,2272,20200127,20200127,676,946.4,2879.8
3INDI,2272,20200128,20200128,672,940.8,3826.2
3INDI,2272,20200128,20200129,4,5.6,3826.2
3INDI,2272,20200129,20200129,681,953.4,4779.6
3INDI,2281,20200125,20200125,840,1176.0,1176.0
3INDI,2281,20200126,20200126,903,1264.2,2440.2
3INDI,2281,20200127,20200127,855,1197.0,3637.2
3INDI,2281,20200128,20200128,937,1311.8,4949.0
3INDI,2281,20200129,20200129,893,1250.2,6199.2
3INDI,3678,20200125,20200125,1195,1673.0,1677.2
3INDI,3678,20200125,20200126,3,4.2,1677.2
3INDI,3678,20200126,20200126,1204,1685.6,3362.8
3INDI,3678,20200127,20200127,1231,1723.4,5089.0
3INDI,3678,20200127,20200128,2,2.8,5089.0
3INDI,3678,20200128,20200128,1189,1664.6,6753.6
3INDI,3678,20200129,20200129,1265,1771.0,8524.6
3INDI,3679,20200125,20200125,504,705.6,1100.4
3INDI,3679,20200125,20200126,282,394.8,1100.4
3INDI,3679,20200126,20200126,1515,2121.0,3221.4
3INDI,3679,20200127,20200127,1157,1619.8,4841.2
3INDI,3679,20200128,20200128,1272,1780.8,6630.4
3INDI,3679,20200128,20200129,6,8.4,6630.4
3INDI,3679,20200129,20200129,1129,1580.6,8223.6
3INDI,3679,20200129,20200130,9,12.6,8223.6
3INDI,4875,20200125,20200125,436,610.4,616.0
3INDI,4875,20200125,20200126,4,5.6,616.0
3INDI,4875,20200126,20200126,447,625.8,1246.0
3INDI,4875,20200126,20200127,3,4.2,1246.0
3INDI,4875,20200127,20200127,444,621.6,1867.6
3INDI,4875,20200128,20200128,448,627.2,2507.4
3INDI,4875,20200128,20200129,9,12.6,2507.4
3INDI,4875,20200129,20200129,433,606.2,3117.8
3INDI,4875,20200129,20200130,3,4.2,3117.8
3INDI,4877,20200125,20200125,1202,1682.8,1682.8
3INDI,4877,20200126,20200126,978,1369.2,3052.0
3INDI,4877,20200127,20200127,992,1388.8,4440.8
3INDI,4877,20200128,20200128,968,1355.2,5796.0
3INDI,4877,20200129,20200129,993,1390.2,7186.2
3INDI,4878,20200125,20200125,1032,1444.8,1444.8
3INDI,4878,20200126,20200126,976,1366.4,2811.2
3INDI,4878,20200127,20200127,985,1379.0,4190.2
3INDI,4878,20200128,20200128,989,1384.6,5574.8
3INDI,4878,20200129,20200129,1010,1414.0,6988.8
3INDI,I1601,20200125,20200125,581,813.4,813.4
3INDI,I1601,20200126,20200126,599,838.6,1652.0
3INDI,I1601,20200127,20200127,579,810.6,2462.6
3INDI,I1601,20200128,20200128,587,821.8,3284.4
3INDI,I1601,20200129,20200129,580,812.0,4096.4
3INDI,I1602,20200125,20200125,652,912.8,912.8
3INDI,I1602,20200126,20200126,636,890.4,1803.2
3INDI,I1602,20200127,20200127,420,588.0,2396.8
3INDI,I1602,20200127,20200128,4,5.6,2396.8
3INDI,I1602,20200128,20200128,958,1341.2,3738.0
3INDI,I1602,20200129,20200129,683,956.2,4694.2
3INDI,I1603,20200125,20200125,702,982.8,982.8
3INDI,I1603,20200126,20200126,697,975.8,1958.6
3INDI,I1603,20200127,20200127,696,974.4,2933.0
3INDI,I1603,20200128,20200128,690,966.0,3899.0
3INDI,I1603,20200129,20200129,692,968.8,4867.8
3INDI,I1604,20200125,20200125,570,798.0,798.0
3INDI,I1604,20200126,20200126,566,792.4,1590.4
3INDI,I1604,20200127,20200127,577,807.8,2398.2
3INDI,I1604,20200128,20200128,558,781.2,3179.4
3INDI,I1604,20200129,20200129,535,749.0,3928.4
3INDI,N1107,20200125,20200125,989,1384.6,1384.6
3INDI,N1107,20200126,20200126,685,959.0,2343.6
3INDI,N1107,20200127,20200127,1325,1855.0,4198.6
3INDI,N1107,20200128,20200128,1010,1414.0,5612.6
3INDI,N1107,20200129,20200129,1025,1435.0,7047.6
3INDI,T1401,20200125,20200125,490,686.0,686.0
3INDI,T1401,20200126,20200126,501,701.4,1387.4
3INDI,T1401,20200127,20200127,513,718.2,2105.6
3INDI,T1401,20200128,20200128,511,715.4,2821.0
3INDI,T1401,20200129,20200129,516,722.4,3543.4
3INDI,T1402,20200125,20200125,890,1246.0,1246.0
3INDI,T1402,20200126,20200126,847,1185.8,2431.8
3INDI,T1402,20200127,20200127,984,1377.6,3809.4
3INDI,T1402,20200128,20200128,908,1271.2,5086.2
3INDI,T1402,20200128,20200129,4,5.6,5086.2
3INDI,T1402,20200129,20200129,929,1300.6,6386.8
3INDI,T1403,20200125,20200125,691,967.4,977.2
3INDI,T1403,20200125,20200126,7,9.8,977.2
3INDI,T1403,20200126,20200126,711,995.4,1972.6
3INDI,T1403,20200127,20200127,696,974.4,2947.0
3INDI,T1403,20200128,20200128,748,1047.2,3994.2
3INDI,T1403,20200129,20200129,726,1016.4,5010.6
