PharmacyID,fac_id,dsps_dtm,change_dtm,pack,estimated,cum
1PITT,15,20200125,20200125,565,791.0,791.0
1PITT,15,20200126,20200126,547,765.8,1556.8
1PITT,15,20200127,20200127,555,777.0,2333.8
1PITT,15,20200128,20200128,578,809.2,3143.0
1PITT,15,20200129,20200129,542,758.8,3901.8
1PITT,16,20200125,20200125,749,1048.6,1048.6
1PITT,16,20200126,20200126,683,956.2,2004.8
1PITT,16,20200127,20200127,670,938.0,2942.8
1PITT,16,20200128,20200128,713,998.2,3941.0
1PITT,16,20200129,20200129,713,998.2,4939.2
1PITT,17,20200125,20200125,134,187.6,187.6
1PITT,17,20200126,20200126,139,194.6,382.2
1PITT,17,20200127,20200127,132,184.8,567.0
1PITT,17,20200128,20200128,137,191.8,758.8
1PITT,17,20200129,20200129,131,183.4,942.2
1PITT,19,20200125,20200125,526,736.4,736.4
1PITT,19,20200126,20200126,508,711.2,1447.6
1PITT,19,20200127,20200127,502,702.8,2150.4
1PITT,19,20200128,20200128,520,728.0,2878.4
1PITT,19,20200129,20200129,513,718.2,3596.6
1PITT,20,20200125,20200125,627,877.8,877.8
1PITT,20,20200126,20200126,609,852.6,1730.4
1PITT,20,20200127,20200127,570,798.0,2528.4
1PITT,20,20200128,20200128,578,809.2,3337.6
1PITT,20,20200129,20200129,595,833.0,4170.6
1PITT,22,20200125,20200125,682,954.8,954.8
1PITT,22,20200126,20200126,690,966.0,1920.8
1PITT,22,20200127,20200127,652,912.8,2833.6
1PITT,22,20200128,20200128,664,929.6,3763.2
1PITT,22,20200129,20200129,395,553.0,4316.2
1PITT,23,20200125,20200125,652,912.8,912.8
1PITT,23,20200126,20200126,632,884.8,1797.6
1PITT,23,20200127,20200127,612,856.8,2654.4
1PITT,23,20200128,20200128,608,851.2,3505.6
1PITT,23,20200129,20200129,619,866.6,4372.2
1PITT,24,20200125,20200125,288,403.2,403.2
1PITT,24,20200126,20200126,284,397.6,800.8
1PITT,24,20200127,20200127,52,72.8,873.6
1PITT,24,20200128,20200128,546,764.4,1638.0
1PITT,24,20200129,20200129,304,425.6,2063.6
1PITT,25,20200125,20200125,810,1134.0,1149.4
1PITT,25,20200125,20200126,11,15.4,1149.4
1PITT,25,20200126,20200126,794,1111.6,2296.0
1PITT,25,20200126,20200127,25,35.0,2296.0
1PITT,25,20200127,20200127,767,1073.8,3385.2
1PITT,25,20200127,20200128,11,15.4,3385.2
1PITT,25,20200128,20200128,746,1044.4,4429.6
