PharmacyID,fac_id,dsps_dtm,change_dtm,pack,estimated,cum
4KCTY,1113,20200125,20200125,427,597.8,597.8
4KCTY,1113,20200126,20200126,455,637.0,1234.8
4KCTY,1113,20200127,20200127,432,604.8,1839.6
4KCTY,1113,20200128,20200128,517,723.8,2563.4
4KCTY,1113,20200129,20200129,488,683.2,3246.6
4KCTY,1115,20200125,20200125,1,1.4,1.4
4KCTY,1115,20200127,20200127,200,280.0,281.4
4KCTY,1115,20200128,20200128,201,281.4,562.8
4KCTY,1115,20200129,20200129,199,278.6,841.4
4KCTY,1204,20200125,20200125,314,439.6,439.6
4KCTY,1204,20200126,20200126,317,443.8,883.4
4KCTY,1204,20200127,20200127,351,491.4,1374.8
4KCTY,1204,20200128,20200128,399,558.6,1933.4
4KCTY,1204,20200129,20200129,348,487.2,2420.6
4KCTY,1750,20200125,20200125,414,579.6,579.6
4KCTY,1750,20200126,20200126,417,583.8,1163.4
4KCTY,1750,20200127,20200127,409,572.6,1736.0
4KCTY,1750,20200128,20200128,423,592.2,2328.2
4KCTY,1750,20200129,20200129,418,585.2,2913.4
4KCTY,5600,20200125,20200125,2097,2935.8,2935.8
4KCTY,5600,20200126,20200126,2086,2920.4,5856.2
4KCTY,5600,20200127,20200127,2180,3052.0,8908.2
4KCTY,5600,20200128,20200128,2147,3005.8,11916.8
4KCTY,5600,20200128,20200129,2,2.8,11916.8
4KCTY,5600,20200129,20200129,2192,3068.8,14985.6
4KCTY,5602,20200125,20200125,181,253.4,253.4
4KCTY,5602,20200126,20200126,223,312.2,565.6
4KCTY,5602,20200127,20200127,203,284.2,859.6
4KCTY,5602,20200127,20200128,7,9.8,859.6
4KCTY,5602,20200128,20200128,241,337.4,1197.0
4KCTY,5602,20200129,20200129,204,285.6,1482.6
4KCTY,14400,20200125,20200125,415,581.0,581.0
4KCTY,14400,20200126,20200126,418,585.2,1166.2
4KCTY,14400,20200127,20200127,424,593.6,1759.8
4KCTY,14400,20200128,20200128,426,596.4,2356.2
4KCTY,14400,20200129,20200129,427,597.8,2954.0
4KCTY,95600,20200125,20200125,37,51.8,51.8
4KCTY,95600,20200126,20200126,44,61.6,113.4
4KCTY,95600,20200127,20200127,23,32.2,145.6
4KCTY,95600,20200128,20200128,25,35.0,180.6
4KCTY,95600,20200129,20200129,33,46.2,226.8
4KCTY,B1550,20200125,20200125,375,525.0,525.0
4KCTY,B1550,20200126,20200126,357,499.8,1024.8
4KCTY,B1550,20200127,20200127,350,490.0,1514.8
4KCTY,B1550,20200128,20200128,361,505.4,2020.2
4KCTY,B1550,20200129,20200129,317,443.8,2464.0
4KCTY,J1101,20200125,20200125,417,583.8,583.8
4KCTY,J1101,20200126,20200126,403,564.2,1148.0
4KCTY,J1101,20200127,20200127,399,558.6,1706.6
4KCTY,J1101,20200128,20200128,395,553.0,2259.6
4KCTY,J1101,20200129,20200129,399,558.6,2818.2
4KCTY,J1102,20200125,20200125,221,309.4,309.4
4KCTY,J1102,20200126,20200126,221,309.4,618.8
4KCTY,J1102,20200127,20200127,229,320.6,939.4
4KCTY,J1102,20200128,20200128,231,323.4,1262.8
4KCTY,J1102,20200129,20200129,230,322.0,1584.8
4KCTY,J1103,20200125,20200125,490,686.0,686.0
4KCTY,J1103,20200126,20200126,483,676.2,1362.2
4KCTY,J1103,20200127,20200127,492,688.8,2051.0
4KCTY,J1103,20200128,20200128,478,669.2,2720.2
4KCTY,J1103,20200129,20200129,488,683.2,3403.4
4KCTY,J1104,20200125,20200125,571,799.4,799.4
4KCTY,J1104,20200126,20200126,580,812.0,1611.4
4KCTY,J1104,20200127,20200127,587,821.8,2433.2
4KCTY,J1104,20200128,20200128,577,807.8,3241.0
4KCTY,J1104,20200129,20200129,588,823.2,4064.2
4KCTY,J1105,20200125,20200125,235,329.0,329.0
4KCTY,J1105,20200126,20200126,235,329.0,658.0
4KCTY,J1105,20200127,20200127,241,337.4,995.4
4KCTY,J1105,20200128,20200128,240,336.0,1331.4
4KCTY,J1105,20200129,20200129,251,351.4,1682.8
4KCTY,J1106,20200125,20200125,327,457.8,457.8
4KCTY,J1106,20200126,20200126,313,438.2,896.0
4KCTY,J1106,20200127,20200127,323,452.2,1348.2
4KCTY,J1106,20200128,20200128,350,490.0,1838.2
4KCTY,J1106,20200129,20200129,331,463.4,2301.6
