PharmacyID,fac_id,dsps_dtm,change_dtm,pack,estimated,cum
4KCTY,127,20200125,20200125,897,1255.8,1255.8
4KCTY,127,20200126,20200126,811,1135.4,2391.2
4KCTY,127,20200127,20200127,775,1085.0,3476.2
4KCTY,127,20200128,20200128,813,1138.2,4614.4
4KCTY,127,20200129,20200129,870,1218.0,5832.4
4KCTY,156,20200125,20200125,650,910.0,910.0
4KCTY,156,20200126,20200126,640,896.0,1806.0
4KCTY,156,20200127,20200127,650,910.0,2716.0
4KCTY,156,20200128,20200128,658,921.2,3637.2
4KCTY,156,20200129,20200129,643,900.2,4537.4
4KCTY,158,20200125,20200125,1800,2520.0,2520.0
4KCTY,158,20200126,20200126,1756,2458.4,4978.4
4KCTY,158,20200127,20200127,1760,2464.0,7442.4
4KCTY,158,20200128,20200128,1428,1999.2,9556.4
4KCTY,158,20200128,20200129,82,114.8,9556.4
4KCTY,158,20200129,20200129,2006,2808.4,12364.8
4KCTY,162,20200125,20200125,508,711.2,711.2
4KCTY,162,20200126,20200126,477,667.8,1379.0
4KCTY,162,20200127,20200127,464,649.6,2028.6
4KCTY,162,20200128,20200128,453,634.2,2662.8
4KCTY,162,20200129,20200129,461,645.4,3308.2
4KCTY,163,20200125,20200125,427,597.8,597.8
4KCTY,163,20200126,20200126,434,607.6,1205.4
4KCTY,163,20200127,20200127,423,592.2,1797.6
4KCTY,163,20200128,20200128,433,606.2,2403.8
4KCTY,163,20200129,20200129,430,602.0,3005.8
4KCTY,170,20200125,20200125,664,929.6,929.6
4KCTY,170,20200126,20200126,657,919.8,1849.4
4KCTY,170,20200127,20200127,666,932.4,2781.8
4KCTY,170,20200128,20200128,665,931.0,3712.8
4KCTY,170,20200129,20200129,697,975.8,4688.6
4KCTY,651,20200125,20200125,998,1397.2,1397.2
4KCTY,651,20200126,20200126,991,1387.4,2784.6
4KCTY,651,20200127,20200127,979,1370.6,4155.2
4KCTY,651,20200128,20200128,1027,1437.8,5593.0
4KCTY,651,20200129,20200129,1022,1430.8,7023.8
4KCTY,652,20200125,20200125,1113,1558.2,1558.2
4KCTY,652,20200126,20200126,1113,1558.2,3116.4
4KCTY,652,20200127,20200127,1127,1577.8,4694.2
4KCTY,652,20200128,20200128,1052,1472.8,6167.0
4KCTY,652,20200129,20200129,1096,1534.4,7701.4
4KCTY,653,20200125,20200125,642,898.8,898.8
4KCTY,653,20200126,20200126,678,949.2,1848.0
4KCTY,653,20200127,20200127,658,921.2,2769.2
4KCTY,653,20200128,20200128,639,894.6,3663.8
4KCTY,653,20200129,20200129,666,932.4,4596.2
4KCTY,654,20200125,20200125,556,778.4,778.4
4KCTY,654,20200126,20200126,515,721.0,1499.4
4KCTY,654,20200127,20200127,537,751.8,2251.2
4KCTY,654,20200128,20200128,602,842.8,3094.0
4KCTY,654,20200129,20200129,547,765.8,3859.8
4KCTY,655,20200125,20200125,752,1052.8,1052.8
4KCTY,655,20200126,20200126,741,1037.4,2090.2
4KCTY,655,20200127,20200127,720,1008.0,3098.2
4KCTY,655,20200128,20200128,738,1033.2,4131.4
4KCTY,655,20200129,20200129,732,1024.8,5156.2
4KCTY,656,20200125,20200125,761,1065.4,1065.4
4KCTY,656,20200126,20200126,769,1076.6,2142.0
4KCTY,656,20200127,20200127,772,1080.8,3222.8
4KCTY,656,20200128,20200128,873,1222.2,4445.0
4KCTY,656,20200129,20200129,894,1251.6,5696.6
