PharmacyID,fac_id,dsps_dtm,change_dtm,pack,estimated,cum
6FRES,41,20200125,20200125,177,247.8,247.8
6FRES,41,20200126,20200126,178,249.2,497.0
6FRES,41,20200127,20200127,182,254.8,751.8
6FRES,41,20200128,20200128,177,247.8,999.6
6FRES,41,20200129,20200129,180,252.0,1251.6
6FRES,532,20200125,20200125,409,572.6,572.6
6FRES,532,20200126,20200126,319,446.6,1019.2
6FRES,532,20200127,20200127,298,417.2,1436.4
6FRES,532,20200128,20200128,326,456.4,1892.8
6FRES,532,20200129,20200129,317,443.8,2336.6
6FRES,533,20200125,20200125,202,282.8,282.8
6FRES,533,20200126,20200126,208,291.2,574.0
6FRES,533,20200127,20200127,211,295.4,869.4
6FRES,533,20200128,20200128,209,292.6,1162.0
6FRES,533,20200129,20200129,213,298.2,1460.2
6FRES,534,20200125,20200125,193,270.2,270.2
6FRES,534,20200126,20200126,192,268.8,539.0
6FRES,534,20200127,20200127,191,267.4,806.4
6FRES,534,20200128,20200128,200,280.0,1086.4
6FRES,534,20200129,20200129,192,268.8,1355.2
6FRES,536,20200125,20200125,406,568.4,568.4
6FRES,536,20200126,20200126,340,476.0,1044.4
6FRES,536,20200127,20200127,332,464.8,1509.2
6FRES,536,20200128,20200128,339,474.6,1983.8
6FRES,536,20200129,20200129,339,474.6,2458.4
6FRES,537,20200125,20200125,754,1055.6,1055.6
6FRES,537,20200126,20200126,760,1064.0,2119.6
6FRES,537,20200127,20200127,770,1078.0,3197.6
6FRES,537,20200128,20200128,724,1013.6,4211.2
6FRES,537,20200129,20200129,771,1079.4,5290.6
6FRES,542,20200125,20200125,523,732.2,732.2
6FRES,542,20200126,20200126,515,721.0,1453.2
6FRES,542,20200127,20200127,558,781.2,2234.4
6FRES,542,20200128,20200128,543,760.2,2994.6
6FRES,542,20200129,20200129,557,779.8,3774.4
6FRES,557,20200125,20200125,322,450.8,450.8
6FRES,557,20200126,20200126,332,464.8,915.6
6FRES,557,20200127,20200127,359,502.6,1418.2
6FRES,557,20200128,20200128,337,471.8,1890.0
6FRES,557,20200129,20200129,287,401.8,2291.8
6FRES,559,20200125,20200125,561,785.4,785.4
6FRES,559,20200126,20200126,554,775.6,1561.0
6FRES,559,20200127,20200127,593,830.2,2391.2
6FRES,559,20200128,20200128,569,796.6,3187.8
6FRES,559,20200129,20200129,568,795.2,3983.0
6FRES,566,20200125,20200125,480,672.0,672.0
