PharmacyID,fac_id,dsps_dtm,change_dtm,pack,estimated,cum
2MNEA,323,20200125,20200125,141,197.4,197.4
2MNEA,323,20200126,20200126,141,197.4,394.8
2MNEA,323,20200127,20200127,142,198.8,593.6
2MNEA,323,20200128,20200128,145,203.0,796.6
2MNEA,323,20200129,20200129,156,218.4,1015.0
2MNEA,325,20200125,20200125,271,379.4,379.4
2MNEA,325,20200126,20200126,264,369.6,749.0
2MNEA,325,20200127,20200127,261,365.4,1114.4
2MNEA,325,20200128,20200128,266,372.4,1486.8
2MNEA,325,20200129,20200129,271,379.4,1866.2
2MNEA,375,20200125,20200125,495,693.0,693.0
2MNEA,375,20200126,20200126,490,686.0,1379.0
2MNEA,375,20200127,20200127,489,684.6,2063.6
2MNEA,375,20200128,20200128,482,674.8,2738.4
2MNEA,375,20200129,20200129,495,693.0,3431.4
2MNEA,439,20200125,20200125,523,732.2,732.2
2MNEA,439,20200126,20200126,541,757.4,1489.6
2MNEA,439,20200127,20200127,476,666.4,2156.0
2MNEA,439,20200128,20200128,574,803.6,2959.6
2MNEA,439,20200129,20200129,497,695.8,3655.4
2MNEA,530,20200125,20200125,136,190.4,190.4
2MNEA,530,20200126,20200126,141,197.4,387.8
2MNEA,530,20200127,20200127,123,172.2,560.0
2MNEA,530,20200128,20200128,155,217.0,777.0
2MNEA,530,20200129,20200129,166,232.4,1009.4
2MNEA,863,20200125,20200125,303,424.2,424.2
2MNEA,863,20200126,20200126,298,417.2,841.4
2MNEA,863,20200127,20200127,311,435.4,1276.8
2MNEA,863,20200128,20200128,291,407.4,1684.2
2MNEA,863,20200129,20200129,304,425.6,2109.8
2MNEA,864,20200125,20200125,229,320.6,320.6
2MNEA,864,20200126,20200126,223,312.2,632.8
2MNEA,864,20200127,20200127,246,344.4,977.2
2MNEA,864,20200128,20200128,245,343.0,1320.2
2MNEA,864,20200129,20200129,235,329.0,1649.2
2MNEA,865,20200125,20200125,245,343.0,343.0
2MNEA,865,20200126,20200126,245,343.0,686.0
2MNEA,865,20200127,20200127,242,338.8,1024.8
2MNEA,865,20200128,20200128,247,345.8,1370.6
2MNEA,865,20200129,20200129,261,365.4,1736.0
2MNEA,867,20200125,20200125,190,266.0,266.0
2MNEA,867,20200126,20200126,188,263.2,529.2
2MNEA,867,20200127,20200127,179,250.6,779.8
2MNEA,867,20200128,20200128,177,247.8,1027.6
2MNEA,867,20200129,20200129,176,246.4,1274.0
2MNEA,869,20200125,20200125,163,228.2,228.2
2MNEA,869,20200126,20200126,159,222.6,450.8
2MNEA,869,20200127,20200127,165,231.0,681.8
2MNEA,869,20200128,20200128,87,121.8,803.6
2MNEA,869,20200129,20200129,217,303.8,1107.4
2MNEA,878,20200125,20200125,211,295.4,295.4
2MNEA,878,20200126,20200126,217,303.8,599.2
2MNEA,878,20200127,20200127,224,313.6,912.8
2MNEA,878,20200128,20200128,215,301.0,1213.8
2MNEA,878,20200129,20200129,215,301.0,1514.8
2MNEA,885,20200125,20200125,364,509.6,509.6
2MNEA,885,20200126,20200126,540,756.0,1265.6
2MNEA,885,20200127,20200127,389,544.6,1810.2
2MNEA,885,20200128,20200128,334,467.6,2277.8
2MNEA,885,20200129,20200129,622,870.8,3148.6
2MNEA,886,20200125,20200125,172,240.8,240.8
2MNEA,886,20200126,20200126,175,245.0,485.8
2MNEA,886,20200127,20200127,182,254.8,740.6
2MNEA,886,20200128,20200128,180,252.0,992.6
2MNEA,886,20200129,20200129,183,256.2,1248.8
2MNEA,929,20200125,20200125,395,553.0,553.0
2MNEA,929,20200126,20200126,389,544.6,1097.6
2MNEA,929,20200127,20200127,383,536.2,1633.8
2MNEA,929,20200128,20200128,392,548.8,2182.6
2MNEA,929,20200129,20200129,406,568.4,2751.0
2MNEA,930,20200125,20200125,397,555.8,555.8
2MNEA,930,20200126,20200126,385,539.0,1094.8
2MNEA,930,20200127,20200127,383,536.2,1631.0
2MNEA,930,20200128,20200128,378,529.2,2160.2
2MNEA,930,20200129,20200129,413,578.2,2738.4
2MNEA,956,20200125,20200125,301,421.4,421.4
2MNEA,956,20200126,20200126,291,407.4,828.8
2MNEA,956,20200127,20200127,284,397.6,1226.4
2MNEA,956,20200128,20200128,294,411.6,1638.0
