PharmacyID,fac_id,dsps_dtm,change_dtm,pack,estimated,cum
2MNEA,956,20200129,20200129,301,421.4,2059.4
2MNEA,958,20200125,20200125,75,105.0,105.0
2MNEA,958,20200126,20200126,71,99.4,204.4
2MNEA,958,20200127,20200127,71,99.4,303.8
2MNEA,958,20200128,20200128,86,120.4,424.2
2MNEA,958,20200129,20200129,76,106.4,530.6
2MNEA,959,20200125,20200125,318,445.2,445.2
2MNEA,959,20200126,20200126,303,424.2,869.4
2MNEA,959,20200127,20200127,290,406.0,1275.4
2MNEA,959,20200128,20200128,292,408.8,1684.2
2MNEA,959,20200129,20200129,284,397.6,2081.8
2MNEA,961,20200125,20200125,771,1079.4,1079.4
2MNEA,961,20200126,20200126,770,1078.0,2157.4
2MNEA,961,20200127,20200127,779,1090.6,3248.0
2MNEA,961,20200128,20200128,756,1058.4,4306.4
2MNEA,961,20200129,20200129,768,1075.2,5381.6
2MNEA,966,20200125,20200125,240,336.0,336.0
2MNEA,966,20200126,20200126,244,341.6,677.6
2MNEA,966,20200127,20200127,256,358.4,1036.0
2MNEA,966,20200128,20200128,246,344.4,1380.4
2MNEA,966,20200129,20200129,238,333.2,1713.6
2MNEA,1112,20200125,20200125,3,4.2,4.2
2MNEA,1112,20200128,20200128,1,1.4,5.6
2MNEA,1112,20200129,20200129,3,4.2,9.8
2MNEA,1650,20200125,20200125,756,1058.4,1058.4
2MNEA,1650,20200126,20200126,772,1080.8,2139.2
2MNEA,1650,20200127,20200127,757,1059.8,3199.0
2MNEA,1650,20200128,20200128,752,1052.8,4251.8
2MNEA,1650,20200129,20200129,724,1013.6,5265.4
2MNEA,2387,20200125,20200125,240,336.0,336.0
2MNEA,2387,20200126,20200126,235,329.0,665.0
2MNEA,2387,20200127,20200127,245,343.0,1008.0
2MNEA,2387,20200128,20200128,238,333.2,1341.2
2MNEA,2387,20200129,20200129,235,329.0,1670.2
2MNEA,2389,20200125,20200125,1,1.4,1.4
2MNEA,2389,20200127,20200127,3,4.2,5.6
2MNEA,2389,20200128,20200128,4,5.6,11.2
2MNEA,2606,20200125,20200125,595,833.0,833.0
2MNEA,2606,20200126,20200126,600,840.0,1673.0
2MNEA,2606,20200127,20200127,580,812.0,2485.0
2MNEA,2606,20200128,20200128,425,595.0,3124.8
2MNEA,2606,20200128,20200129,32,44.8,3124.8
2MNEA,2606,20200129,20200129,764,1069.6,4194.4
2MNEA,2607,20200125,20200125,351,491.4,491.4
2MNEA,2607,20200126,20200126,341,477.4,968.8
2MNEA,2607,20200127,20200127,356,498.4,1467.2
2MNEA,2607,20200128,20200128,400,560.0,2027.2
2MNEA,2607,20200129,20200129,366,512.4,2539.6
2MNEA,2818,20200125,20200125,220,308.0,308.0
2MNEA,2818,20200126,20200126,229,320.6,628.6
2MNEA,2818,20200127,20200127,258,361.2,989.8
2MNEA,2818,20200128,20200128,213,298.2,1288.0
2MNEA,2818,20200129,20200129,251,351.4,1639.4
2MNEA,2819,20200125,20200125,271,379.4,379.4
2MNEA,2819,20200126,20200126,268,375.2,754.6
2MNEA,2819,20200127,20200127,262,366.8,1121.4
2MNEA,2819,20200128,20200128,259,362.6,1484.0
2MNEA,2819,20200129,20200129,262,366.8,1850.8
2MNEA,2820,20200125,20200125,292,408.8,408.8
2MNEA,2820,20200126,20200126,290,406.0,814.8
2MNEA,2820,20200127,20200127,294,411.6,1226.4
2MNEA,2820,20200128,20200128,304,425.6,1652.0
2MNEA,2820,20200129,20200129,309,432.6,2084.6
2MNEA,3624,20200125,20200125,645,903.0,903.0
2MNEA,3624,20200126,20200126,562,786.8,1689.8
2MNEA,3624,20200127,20200127,526,736.4,2426.2
2MNEA,3624,20200128,20200128,527,737.8,3164.0
2MNEA,3624,20200129,20200129,562,786.8,3950.8
2MNEA,4022,20200125,20200125,521,729.4,729.4
2MNEA,4022,20200126,20200126,508,711.2,1440.6
2MNEA,4022,20200127,20200127,474,663.6,2104.2
2MNEA,4022,20200128,20200128,486,680.4,2784.6
2MNEA,4022,20200129,20200129,492,688.8,3473.4
2MNEA,77003,20200125,20200125,196,274.4,274.4
2MNEA,77003,20200126,20200126,189,264.6,539.0
2MNEA,77003,20200127,20200127,192,268.8,807.8
2MNEA,77003,20200128,20200128,188,263.2,1071.0
2MNEA,77003,20200129,20200129,192,268.8,1339.8
2MNEA,85000,20200125,20200125,210,294.0,294.0
2MNEA,85000,20200126,20200126,215,301.0,595.0
2MNEA,85000,20200127,20200127,222,310.8,905.8
2MNEA,85000,20200128,20200128,224,313.6,1219.4
2MNEA,85000,20200129,20200129,240,336.0,1555.4
2MNEA,B1551,20200125,20200125,412,576.8,576.8
2MNEA,B1551,20200126,20200126,400,560.0,1136.8
2MNEA,B1551,20200127,20200127,434,607.6,1744.4
2MNEA,B1551,20200128,20200128,425,595.0,2339.4
2MNEA,B1551,20200129,20200129,72,100.8,2959.6
2MNEA,B1551,20200129,20200130,371,519.4,2959.6
2MNEA,B1552,20200125,20200125,568,795.2,795.2
2MNEA,B1552,20200126,20200126,569,796.6,1591.8
2MNEA,B1552,20200127,20200127,561,785.4,2377.2
2MNEA,B1552,20200128,20200128,552,772.8,3150.0
2MNEA,B1552,20200129,20200129,548,767.2,3917.2
2MNEA,B1553,20200125,20200125,301,421.4,421.4
2MNEA,B1553,20200126,20200126,302,422.8,844.2
2MNEA,B1553,20200127,20200127,291,407.4,1251.6
2MNEA,B1553,20200128,20200128,293,410.2,1661.8
2MNEA,B1553,20200129,20200129,288,403.2,2065.0
2MNEA,B1556,20200125,20200125,577,807.8,807.8
2MNEA,B1556,20200126,20200126,588,823.2,1631.0
2MNEA,B1556,20200127,20200127,589,824.6,2455.6
2MNEA,B1556,20200128,20200128,588,823.2,3278.8
2MNEA,B1556,20200129,20200129,590,826.0,4104.8
2MNEA,B1558,20200125,20200125,327,457.8,457.8
2MNEA,B1558,20200126,20200126,329,460.6,918.4
2MNEA,B1558,20200127,20200127,347,485.8,1404.2
2MNEA,B1558,20200128,20200128,348,487.2,1891.4
2MNEA,B1558,20200129,20200129,347,485.8,2377.2
2MNEA,B1562,20200125,20200125,710,994.0,994.0
2MNEA,B1562,20200126,20200126,732,1024.8,2018.8
2MNEA,B1562,20200127,20200127,777,1087.8,3106.6
2MNEA,B1562,20200128,20200128,790,1106.0,4212.6
2MNEA,B1562,20200129,20200129,803,1124.2,5336.8
